"","YL.RP.1488","YL.RP.342","YL.RP.348","YL.RP.977","YL.RP.995","YL.RP.9","YL.RP.Si051","YL.RP.Si062","YL.RP.Si079","YL.RP.Si080","YL.RP.Si081","YL.RP.Si083","YL.RP.Si090","YL.RP.Si214","YL.RP.Si248","YL.RP.Si249","YL.RP.Si268","YL.RS.1488","YL.RS.342","YL.RS.348","YL.RS.977","YL.RS.995","YL.RS.9","YL.RS.Si051","YL.RS.Si062","YL.RS.Si079","YL.RS.Si080","YL.RS.Si081","YL.RS.Si083","YL.RS.Si090","YL.RS.Si214","YL.RS.Si248","YL.RS.Si249","YL.RS.Si268"
"YL.RP.1488",0,0.276390966364785,0.321323543290001,0.2867737981625,0.29681229404484,0.4099711119473,0.661754497781424,0.474495467104128,0.425059157647283,0.360064085030921,0.346266084232989,0.344928008486,0.361836622691652,0.415620142876582,0.377735920874372,0.380924848010096,0.355133417713248,0.545993440671515,0.541843765052954,0.619988039342169,0.565441527886228,0.594721584718713,0.571268921612843,0.646392571814966,0.569980220127597,0.651564992218692,0.569099765386085,0.599505789892215,0.651180348829024,0.659192237025376,0.520276108682893,0.630735342686093,0.639920239640487,0.528018554270428
"YL.RP.342",0.276390966364785,0,0.231914832426262,0.282270801585816,0.253888529294549,0.308648837628371,0.609691150002337,0.432294995383876,0.406549766918982,0.336381798169777,0.317726853119385,0.329125481216886,0.334864669438284,0.361824731654869,0.3514814234377,0.359246193882447,0.34017049328295,0.563341596793204,0.524593969789428,0.628654256385689,0.582790599626752,0.610899507896859,0.526788865369795,0.619415994744313,0.552719912583141,0.663406064494499,0.548493686790751,0.600515622857399,0.654279082179885,0.669597741144628,0.486681178729583,0.614698433541953,0.638201654631438,0.520091390734562
"YL.RP.348",0.321323543290001,0.231914832426262,0,0.323212283830536,0.316786761901962,0.321823026601833,0.643844698052891,0.486912074121435,0.478086454079733,0.377416654870872,0.38694086229205,0.389476758221726,0.386274417780217,0.407481716308743,0.357757560651721,0.364921006555726,0.37558933973349,0.468538033037153,0.441619560770644,0.52121930099967,0.483677124014944,0.546697191254636,0.466984613129735,0.533680775110254,0.468985263791247,0.562694872823467,0.465955917066357,0.504191941803754,0.560458305615988,0.56756442698292,0.407809273362412,0.523608514892783,0.548671856293375,0.425888640653124
"YL.RP.977",0.2867737981625,0.282270801585816,0.323212283830536,0,0.267884609166036,0.421218490981682,0.653613167500954,0.457431862102392,0.449319134648281,0.329860685471036,0.402169597648223,0.414452589422711,0.426895533605275,0.334242040789092,0.437169717818049,0.391553507877434,0.353456351565237,0.598994476633993,0.584667188987425,0.666540891150147,0.598125164666752,0.634085186892186,0.615428142013774,0.692630113047471,0.621783086049306,0.702796815328505,0.616073927105371,0.650620209616645,0.70256925262621,0.706076571820028,0.55121572312181,0.68110095170264,0.690765861813935,0.582801916492142
"YL.RP.995",0.29681229404484,0.253888529294549,0.316786761901962,0.267884609166036,0,0.277623372952509,0.600491285130605,0.373099538277521,0.384692301366699,0.310373749726655,0.332358946955296,0.350602640429677,0.317501271157202,0.364395742338563,0.345492960853132,0.309147223473198,0.367910482873826,0.546102726525766,0.508756379479541,0.608497215569994,0.552727861612646,0.578278140760093,0.517356855910007,0.605626804083873,0.528721289623207,0.63012710871813,0.532636240396822,0.572020631563317,0.622179580636556,0.641146689506716,0.487420716673063,0.58147036674381,0.608203371999222,0.508350718972338
"YL.RP.9",0.4099711119473,0.308648837628371,0.321823026601833,0.421218490981682,0.277623372952509,0,0.555976373288051,0.397384719747267,0.406531004286977,0.336121033910562,0.361906735423923,0.346666401777634,0.302606639969585,0.375913150010551,0.277435965997087,0.300365233383082,0.352903777722411,0.476036582626604,0.431860207369228,0.536898159936761,0.49653044649459,0.530241884704042,0.347680694336085,0.469534178800488,0.4301667057701,0.557787150910554,0.420220232861788,0.506289180995264,0.550555081005099,0.573821076350071,0.382061527890555,0.498509364411917,0.539757525371843,0.432550086312386
"YL.RP.Si051",0.661754497781424,0.609691150002337,0.643844698052891,0.653613167500954,0.600491285130605,0.555976373288051,0,0.452255959036422,0.403356466814882,0.46982930609864,0.527014407598263,0.450711026146422,0.502054752318798,0.49498274705584,0.470263395659696,0.500604633836486,0.495325598767093,0.770252159107642,0.760248600841045,0.79922548271999,0.774617255597535,0.77984455119732,0.662457288471759,0.615504416274386,0.699214027362669,0.806082560203921,0.675671963509649,0.763848889585411,0.809968747640439,0.816178422590135,0.659711886248936,0.769700549242781,0.801515094642487,0.698672624537217
"YL.RP.Si062",0.474495467104128,0.432294995383876,0.486912074121435,0.457431862102392,0.373099538277521,0.397384719747267,0.452255959036422,0,0.222681541584503,0.228650535152815,0.330112256231404,0.294222860795471,0.34554476845434,0.270983317803508,0.326659761110908,0.303774171433379,0.290021233334945,0.710606387000595,0.688428269118766,0.748994081386941,0.708849044094296,0.730186542028453,0.592783669472872,0.637551092306703,0.624681285290097,0.769566874958449,0.611656986205506,0.714197756268288,0.767638119819199,0.775755554746178,0.570002936687291,0.722156901412196,0.754108050268813,0.632502090708389
"YL.RP.Si079",0.425059157647283,0.406549766918982,0.478086454079733,0.449319134648281,0.384692301366699,0.406531004286977,0.403356466814882,0.222681541584503,0,0.21706616509616,0.316543860172794,0.241921010061467,0.306121668983654,0.265228195632743,0.261668296104133,0.308589900579737,0.242196664135621,0.680054980999003,0.666256748029898,0.733768543978158,0.679041232963164,0.699105541508939,0.561339128107536,0.59849116622047,0.610924004444256,0.747095576608054,0.58187975352416,0.692469768423615,0.747588567256265,0.750633257480157,0.548203018540442,0.700299936997455,0.735317290180725,0.595062128410483
"YL.RP.Si080",0.360064085030921,0.336381798169777,0.377416654870872,0.329860685471036,0.310373749726655,0.336121033910562,0.46982930609864,0.228650535152815,0.21706616509616,0,0.276616728713447,0.231833119642301,0.283259784607552,0.207994197969736,0.282467474092598,0.262105295118119,0.20522287077681,0.635261750480602,0.618049274406246,0.686195510829619,0.644146053995742,0.672830109271718,0.533439365223835,0.589521034287288,0.574274746960361,0.717424863518848,0.54825585710739,0.652048106672926,0.714403384284426,0.720777496433312,0.501843343782459,0.665747512236755,0.697887190732623,0.559908267351608
"YL.RP.Si081",0.346266084232989,0.317726853119385,0.38694086229205,0.402169597648223,0.332358946955296,0.361906735423923,0.527014407598263,0.330112256231404,0.316543860172794,0.276616728713447,0,0.230866542221846,0.261007737878099,0.328840445362843,0.308972054000419,0.33560013082401,0.298816338586254,0.626634117469026,0.598818002629761,0.682449187744969,0.643796613822889,0.667504636163972,0.576849900241243,0.639280184247752,0.562987744206064,0.704458675656085,0.569053700390039,0.635174184346322,0.702124417068659,0.707552602983538,0.523338725459962,0.642304299592016,0.684082303516296,0.547094966404416
"YL.RP.Si083",0.344928008486,0.329125481216886,0.389476758221726,0.414452589422711,0.350602640429677,0.346666401777634,0.450711026146422,0.294222860795471,0.241921010061467,0.231833119642301,0.230866542221846,0,0.251858870957977,0.260337931796961,0.223580029567262,0.268818660082645,0.241077728846968,0.601775480677094,0.57848975659189,0.655945686901863,0.621747649285076,0.6447478808949,0.511081103031088,0.553960487477504,0.533073387406735,0.680084580781999,0.50276473836916,0.615020533536621,0.676675632201084,0.682840239110677,0.476609192231567,0.618449345008872,0.65759381249849,0.515436958482214
"YL.RP.Si090",0.361836622691652,0.334864669438284,0.386274417780217,0.426895533605275,0.317501271157202,0.302606639969585,0.502054752318798,0.34554476845434,0.306121668983654,0.283259784607552,0.261007737878099,0.251858870957977,0,0.351040196276197,0.220496272418035,0.278108381684568,0.307335371043718,0.555517227146115,0.539340095724136,0.615331929201883,0.579955612931636,0.594443016483336,0.477393783846653,0.528624821088252,0.490832030342114,0.632719100609261,0.474912446561046,0.572356278086906,0.628042200105245,0.638806303129136,0.457715263834597,0.570683336723195,0.613327140868008,0.481302892916213
"YL.RP.Si214",0.415620142876582,0.361824731654869,0.407481716308743,0.334242040789092,0.364395742338563,0.375913150010551,0.49498274705584,0.270983317803508,0.265228195632743,0.207994197969736,0.328840445362843,0.260337931796961,0.351040196276197,0,0.326140236327293,0.296647073327887,0.229572584947541,0.672913392689375,0.64766789513215,0.714943548962853,0.676823889212792,0.690117298344592,0.563798630891948,0.630426512830141,0.606579530019739,0.739544944858871,0.581562032611178,0.685269308178371,0.738785184882056,0.743238358286418,0.519351804965094,0.693691973532099,0.730093053097367,0.594668128004488
"YL.RP.Si248",0.377735920874372,0.3514814234377,0.357757560651721,0.437169717818049,0.345492960853132,0.277435965997087,0.470263395659696,0.326659761110908,0.261668296104133,0.282467474092598,0.308972054000419,0.223580029567262,0.220496272418035,0.326140236327293,0,0.202099897134982,0.248134092358933,0.52214544119217,0.496035258944622,0.572395377990527,0.531013771995598,0.567532393139809,0.400735085691223,0.447385473245858,0.446134065246643,0.594888720383853,0.423355127031342,0.532584205964303,0.592084767544543,0.599468491856154,0.400894364374735,0.523065363768246,0.569375632251665,0.440287453804977
"YL.RP.Si249",0.380924848010096,0.359246193882447,0.364921006555726,0.391553507877434,0.309147223473198,0.300365233383082,0.500604633836486,0.303774171433379,0.308589900579737,0.262105295118119,0.33560013082401,0.268818660082645,0.278108381684568,0.296647073327887,0.202099897134982,0,0.273063026259418,0.545718008401216,0.524771865310518,0.588087077752131,0.54075825405317,0.566590837918523,0.461154429999068,0.48717424662477,0.466819720078734,0.605477965124619,0.455799471760979,0.550021119113123,0.602887819179574,0.6126035280035,0.434587667855151,0.541226160620602,0.582560408562222,0.465268609121651
"YL.RP.Si268",0.355133417713248,0.34017049328295,0.37558933973349,0.353456351565237,0.367910482873826,0.352903777722411,0.495325598767093,0.290021233334945,0.242196664135621,0.20522287077681,0.298816338586254,0.241077728846968,0.307335371043718,0.229572584947541,0.248134092358933,0.273063026259418,0,0.633081561736858,0.621699174251385,0.694875132964913,0.650178782248935,0.667824433521834,0.51849524761076,0.579213808180085,0.572819419941154,0.714768056263406,0.543415529371591,0.657927583738337,0.714169766074007,0.717091779935986,0.507543186097774,0.66654174095135,0.700816821833033,0.545514596893902
"YL.RS.1488",0.545993440671515,0.563341596793204,0.468538033037153,0.598994476633993,0.546102726525766,0.476036582626604,0.770252159107642,0.710606387000595,0.680054980999003,0.635261750480602,0.626634117469026,0.601775480677094,0.555517227146115,0.672913392689375,0.52214544119217,0.545718008401216,0.633081561736858,0,0.223115604137748,0.290994273439338,0.231174734008532,0.326919477391193,0.315163926403688,0.333267008845334,0.210664055257608,0.229503221771442,0.26213305708269,0.210682857388828,0.205389015449013,0.246692342013146,0.259487662069623,0.240965273428445,0.229339173742392,0.222616064452971
"YL.RS.342",0.541843765052954,0.524593969789428,0.441619560770644,0.584667188987425,0.508756379479541,0.431860207369228,0.760248600841045,0.688428269118766,0.666256748029898,0.618049274406246,0.598818002629761,0.57848975659189,0.539340095724136,0.64766789513215,0.496035258944622,0.524771865310518,0.621699174251385,0.223115604137748,0,0.212664692712256,0.156257483336298,0.307957708224681,0.21869396358155,0.312139343588249,0.258936995383341,0.229933371406832,0.23438105210804,0.249415784335319,0.206326469443995,0.234991096736986,0.291330770828643,0.221698536399776,0.200738047233413,0.232385795257108
"YL.RS.348",0.619988039342169,0.628654256385689,0.52121930099967,0.666540891150147,0.608497215569994,0.536898159936761,0.79922548271999,0.748994081386941,0.733768543978158,0.686195510829619,0.682449187744969,0.655945686901863,0.615331929201883,0.714943548962853,0.572395377990527,0.588087077752131,0.694875132964913,0.290994273439338,0.212664692712256,0,0.192809160567222,0.36985825446952,0.325434909010193,0.279047205116985,0.262282637565219,0.180557080915972,0.253725571949044,0.214098232812846,0.212406612226104,0.189751635139304,0.34286587053636,0.193536975484322,0.222342155431252,0.236045620486648
"YL.RS.977",0.565441527886228,0.582790599626752,0.483677124014944,0.598125164666752,0.552727861612646,0.49653044649459,0.774617255597535,0.708849044094296,0.679041232963164,0.644146053995742,0.643796613822889,0.621747649285076,0.579955612931636,0.676823889212792,0.531013771995598,0.54075825405317,0.650178782248935,0.231174734008532,0.156257483336298,0.192809160567222,0,0.299412061374838,0.266157620062739,0.27528606262184,0.278121234959929,0.177196596109847,0.265295783657449,0.217023188711157,0.199289884753585,0.218353225043323,0.310095450835859,0.207726924301744,0.19900289424988,0.229686788981597
"YL.RS.995",0.594721584718713,0.610899507896859,0.546697191254636,0.634085186892186,0.578278140760093,0.530241884704042,0.77984455119732,0.730186542028453,0.699105541508939,0.672830109271718,0.667504636163972,0.6447478808949,0.594443016483336,0.690117298344592,0.567532393139809,0.566590837918523,0.667824433521834,0.326919477391193,0.307957708224681,0.36985825446952,0.299412061374838,0,0.332304511534014,0.384118622143029,0.367376477364663,0.314642027101303,0.365848723516244,0.351804551961748,0.310339641863069,0.334263757230913,0.442355035362995,0.348111234144138,0.304455103463137,0.383040421422652
"YL.RS.9",0.571268921612843,0.526788865369795,0.466984613129735,0.615428142013774,0.517356855910007,0.347680694336085,0.662457288471759,0.592783669472872,0.561339128107536,0.533439365223835,0.576849900241243,0.511081103031088,0.477393783846653,0.563798630891948,0.400735085691223,0.461154429999068,0.51849524761076,0.315163926403688,0.21869396358155,0.325434909010193,0.266157620062739,0.332304511534014,0,0.251175405487819,0.284390869464026,0.321309015694329,0.242062913842871,0.311761113404485,0.317161711259519,0.325042403849463,0.300040114254007,0.309841436347866,0.284204106869957,0.290868855561482
"YL.RS.Si051",0.646392571814966,0.619415994744313,0.533680775110254,0.692630113047471,0.605626804083873,0.469534178800488,0.615504416274386,0.637551092306703,0.59849116622047,0.589521034287288,0.639280184247752,0.553960487477504,0.528624821088252,0.630426512830141,0.447385473245858,0.48717424662477,0.579213808180085,0.333267008845334,0.312139343588249,0.279047205116985,0.27528606262184,0.384118622143029,0.251175405487819,0,0.24930470280572,0.244486659476913,0.226593126740692,0.26206696906881,0.280913029913303,0.273890071563886,0.316272594074022,0.238387163869746,0.260518502932195,0.247158766025513
"YL.RS.Si062",0.569980220127597,0.552719912583141,0.468985263791247,0.621783086049306,0.528721289623207,0.4301667057701,0.699214027362669,0.624681285290097,0.610924004444256,0.574274746960361,0.562987744206064,0.533073387406735,0.490832030342114,0.606579530019739,0.446134065246643,0.466819720078734,0.572819419941154,0.210664055257608,0.258936995383341,0.262282637565219,0.278121234959929,0.367376477364663,0.284390869464026,0.24930470280572,0,0.208924524877602,0.15451560177684,0.203407037633669,0.214876093975818,0.211538743763298,0.201506954412077,0.180448757826079,0.234166311912678,0.172044917596145
"YL.RS.Si079",0.651564992218692,0.663406064494499,0.562694872823467,0.702796815328505,0.63012710871813,0.557787150910554,0.806082560203921,0.769566874958449,0.747095576608054,0.717424863518848,0.704458675656085,0.680084580781999,0.632719100609261,0.739544944858871,0.594888720383853,0.605477965124619,0.714768056263406,0.229503221771442,0.229933371406832,0.180557080915972,0.177196596109847,0.314642027101303,0.321309015694329,0.244486659476913,0.208924524877602,0,0.235069503571108,0.143682731283822,0.101472702771624,0.136434447771546,0.318091558786596,0.139870590288944,0.14226418902234,0.219194764060739
"YL.RS.Si080",0.569099765386085,0.548493686790751,0.465955917066357,0.616073927105371,0.532636240396822,0.420220232861788,0.675671963509649,0.611656986205506,0.58187975352416,0.54825585710739,0.569053700390039,0.50276473836916,0.474912446561046,0.581562032611178,0.423355127031342,0.455799471760979,0.543415529371591,0.26213305708269,0.23438105210804,0.253725571949044,0.265295783657449,0.365848723516244,0.242062913842871,0.226593126740692,0.15451560177684,0.235069503571108,0,0.236325070434112,0.247790045093057,0.226183625386381,0.218466879096345,0.208623914172777,0.241715426129423,0.162718252896841
"YL.RS.Si081",0.599505789892215,0.600515622857399,0.504191941803754,0.650620209616645,0.572020631563317,0.506289180995264,0.763848889585411,0.714197756268288,0.692469768423615,0.652048106672926,0.635174184346322,0.615020533536621,0.572356278086906,0.685269308178371,0.532584205964303,0.550021119113123,0.657927583738337,0.210682857388828,0.249415784335319,0.214098232812846,0.217023188711157,0.351804551961748,0.311761113404485,0.26206696906881,0.203407037633669,0.143682731283822,0.236325070434112,0,0.15909567984667,0.156420158913045,0.24829642657275,0.19207137900807,0.195517900633603,0.219597868767452
"YL.RS.Si083",0.651180348829024,0.654279082179885,0.560458305615988,0.70256925262621,0.622179580636556,0.550555081005099,0.809968747640439,0.767638119819199,0.747588567256265,0.714403384284426,0.702124417068659,0.676675632201084,0.628042200105245,0.738785184882056,0.592084767544543,0.602887819179574,0.714169766074007,0.205389015449013,0.206326469443995,0.212406612226104,0.199289884753585,0.310339641863069,0.317161711259519,0.280913029913303,0.214876093975818,0.101472702771624,0.247790045093057,0.15909567984667,0,0.159269019445146,0.314341369323495,0.159596425195877,0.151150595593283,0.239962598165741
"YL.RS.Si090",0.659192237025376,0.669597741144628,0.56756442698292,0.706076571820028,0.641146689506716,0.573821076350071,0.816178422590135,0.775755554746178,0.750633257480157,0.720777496433312,0.707552602983538,0.682840239110677,0.638806303129136,0.743238358286418,0.599468491856154,0.6126035280035,0.717091779935986,0.246692342013146,0.234991096736986,0.189751635139304,0.218353225043323,0.334263757230913,0.325042403849463,0.273890071563886,0.211538743763298,0.136434447771546,0.226183625386381,0.156420158913045,0.159269019445146,0,0.311031354742979,0.203627019807081,0.158306513224406,0.239685956502106
"YL.RS.Si214",0.520276108682893,0.486681178729583,0.407809273362412,0.55121572312181,0.487420716673063,0.382061527890555,0.659711886248936,0.570002936687291,0.548203018540442,0.501843343782459,0.523338725459962,0.476609192231567,0.457715263834597,0.519351804965094,0.400894364374735,0.434587667855151,0.507543186097774,0.259487662069623,0.291330770828643,0.34286587053636,0.310095450835859,0.442355035362995,0.300040114254007,0.316272594074022,0.201506954412077,0.318091558786596,0.218466879096345,0.24829642657275,0.314341369323495,0.311031354742979,0,0.274911555110554,0.319842117603738,0.210863178348005
"YL.RS.Si248",0.630735342686093,0.614698433541953,0.523608514892783,0.68110095170264,0.58147036674381,0.498509364411917,0.769700549242781,0.722156901412196,0.700299936997455,0.665747512236755,0.642304299592016,0.618449345008872,0.570683336723195,0.693691973532099,0.523065363768246,0.541226160620602,0.66654174095135,0.240965273428445,0.221698536399776,0.193536975484322,0.207726924301744,0.348111234144138,0.309841436347866,0.238387163869746,0.180448757826079,0.139870590288944,0.208623914172777,0.19207137900807,0.159596425195877,0.203627019807081,0.274911555110554,0,0.151531016111789,0.180838064389023
"YL.RS.Si249",0.639920239640487,0.638201654631438,0.548671856293375,0.690765861813935,0.608203371999222,0.539757525371843,0.801515094642487,0.754108050268813,0.735317290180725,0.697887190732623,0.684082303516296,0.65759381249849,0.613327140868008,0.730093053097367,0.569375632251665,0.582560408562222,0.700816821833033,0.229339173742392,0.200738047233413,0.222342155431252,0.19900289424988,0.304455103463137,0.284204106869957,0.260518502932195,0.234166311912678,0.14226418902234,0.241715426129423,0.195517900633603,0.151150595593283,0.158306513224406,0.319842117603738,0.151531016111789,0,0.224464641423141
"YL.RS.Si268",0.528018554270428,0.520091390734562,0.425888640653124,0.582801916492142,0.508350718972338,0.432550086312386,0.698672624537217,0.632502090708389,0.595062128410483,0.559908267351608,0.547094966404416,0.515436958482214,0.481302892916213,0.594668128004488,0.440287453804977,0.465268609121651,0.545514596893902,0.222616064452971,0.232385795257108,0.236045620486648,0.229686788981597,0.383040421422652,0.290868855561482,0.247158766025513,0.172044917596145,0.219194764060739,0.162718252896841,0.219597868767452,0.239962598165741,0.239685956502106,0.210863178348005,0.180838064389023,0.224464641423141,0
