Phylum,Label,Id,att1,att2,att3,att4,Class,Order,Family,Genus,Species,category,enrich,significant,color,hub
Proteobacteria,MAG_002,1,MAG_002,Proteobacteria,0.306981,M3,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassign,RP sig,RP,Y,#FBB4AE,
Bacteroidota,MAG_007,2,MAG_007,Bacteroidota,0.130886,M11,Bacteroidia,Chitinophagales,Chitinophagaceae,JACDAZ01,Unassign,RP sig,RP,Y,#B3CDE3,
Bacteroidota,MAG_008,3,MAG_008,Bacteroidota,0.094929,M3,Bacteroidia,Cytophagales,Cyclobacteriaceae,Chryseolinea,Unassign,RP sig,RP,Y,#B3CDE3,
Verrucomicrobiota,MAG_010,4,MAG_010,Verrucomicrobiota,0.183624,M12,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter,Unassign,RS sig,RS,Y,#CCEBC5,
Bacteroidota,MAG_012,5,MAG_012,Bacteroidota,0.572271,M3,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unassign,RP sig,RP,Y,#B3CDE3,
Firmicutes,MAG_014,6,MAG_014,Firmicutes,0.895654,M4,Bacilli,Bacillales_B,DSM-1321,Peribacillus,Peribacillus frigoritolerans,RP sig,RP,Y,#DECBE4,
Myxococcota,MAG_019,7,MAG_019,Myxococcota,0.416536,M30,Polyangia,Polyangiales,Polyangiaceae,Unassign,Unassign,RP sig,RP,Y,#FED9A6,
Verrucomicrobiota,MAG_021,8,MAG_021,Verrucomicrobiota,0.046471,M3,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,Unassign,RP sig,RP,Y,#CCEBC5,
Proteobacteria,MAG_024,9,MAG_024,Proteobacteria,0.299615,M10,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Unassign,RP sig,RP,Y,#FBB4AE,
Myxococcota,MAG_026,10,MAG_026,Myxococcota,0.052043,M32,Polyangia,Polyangiales,Polyangiaceae,PMG-095,Unassign,RP,RP,N,#FED9A6,
Bacteroidota,MAG_028,11,MAG_028,Bacteroidota,0.104833,M32,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP sig,RP,Y,#B3CDE3,
Proteobacteria,MAG_032,12,MAG_032,Proteobacteria,0.196882,M19,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_033,13,MAG_033,Proteobacteria,0.431277,M1,Gammaproteobacteria,Burkholderiales,SG8-39,SCGC-AG-212-J23,Unassign,RS sig,RS,Y,#FBB4AE,
Proteobacteria,MAG_034,14,MAG_034,Proteobacteria,0.662355,M3,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassign,RP sig,RP,Y,#FBB4AE,
Thermoproteota,MAG_035,15,MAG_035,Thermoproteota,0.114229,M2,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unassign,RS sig,RS,Y,#FFFFCC,
Bacteroidota,MAG_036,16,MAG_036,Bacteroidota,0.289257,M7,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig,RP,Y,#B3CDE3,
Actinobacteriota,MAG_037,17,MAG_037,Actinobacteriota,0.289659,M3,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Kibdelosporangium,Unassign,RP sig,RP,Y,#E5D8BD,
Proteobacteria,MAG_039,30,MAG_039,Proteobacteria,0.046349,M15,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas geniculata,RP sig,RP,Y,#FBB4AE,
Chloroflexota,MAG_042,31,MAG_042,Chloroflexota,0.615546,M2,Anaerolineae,Anaerolineales,EnvOPS12,UBA12294,Unassign,RS sig,RS,Y,#FDDAEC,
Firmicutes,MAG_043,32,MAG_043,Firmicutes,0.473527,M4,Bacilli,Bacillales_B,DSM-1321,Peribacillus,Peribacillus frigoritolerans,RP sig,RP,Y,#DECBE4,
Proteobacteria,MAG_044,33,MAG_044,Proteobacteria,0.06034,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig,RP,Y,#FBB4AE,
Verrucomicrobiota,MAG_045,34,MAG_045,Verrucomicrobiota,0.245446,M12,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter,Unassign,RS sig,RS,Y,#CCEBC5,
Patescibacteria,MAG_047,18,MAG_047,Patescibacteria,0.769607,M21,Saccharimonadia,Saccharimonadales,UBA1547,Unassign,Unassign,RP sig,RP,Y,#F2F2F2,
Proteobacteria,MAG_050,19,MAG_050,Proteobacteria,0.062825,M16,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unassign,RP sig,RP,Y,#FBB4AE,
Bacteroidota,MAG_052,20,MAG_052,Bacteroidota,0.140983,M28,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP,RP,N,#B3CDE3,
Desulfobacterota_B,MAG_053,21,MAG_053,Desulfobacterota_B,0.499199,M2,Binatia,UBA9968,UBA9968,WHTF01,Unassign,RS sig,RS,Y,#B3E2CD,
Proteobacteria,MAG_054,22,MAG_054,Proteobacteria,0.110471,M19,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_056,23,MAG_056,Proteobacteria,0.31743,M3,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassign,RP sig,RP,Y,#FBB4AE,
Myxococcota,MAG_057,24,MAG_057,Myxococcota,0.378241,M30,Polyangia,Polyangiales,Polyangiaceae,Unassign,Unassign,RP sig,RP,Y,#FED9A6,
Proteobacteria,MAG_058,25,MAG_058,Proteobacteria,0.095264,M3,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassign,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_059,26,MAG_059,Proteobacteria,0.243525,M19,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_060,27,MAG_060,Proteobacteria,0.408579,M3,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_062,28,MAG_062,Proteobacteria,0.18689,M3,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassign,Unassign,RP sig,RP,Y,#FBB4AE,
Chloroflexota,MAG_064,29,MAG_064,Chloroflexota,1.2419,M2,Anaerolineae,Anaerolineales,EnvOPS12,UBA12294,Unassign,RS sig,RS,Y,#FDDAEC,
Proteobacteria,MAG_065,35,MAG_065,Proteobacteria,0.431068,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Ensifer adhaerens,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_066,36,MAG_066,Proteobacteria,0.102523,M31,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium_A,Unassign,RP sig,RP,Y,#FBB4AE,
Firmicutes,MAG_067,37,MAG_067,Firmicutes,0.076638,M4,Bacilli,Bacillales,Bacillaceae_H,Bacillus_I,Bacillus_I endophytica,RP sig,RP,Y,#DECBE4,
Patescibacteria,MAG_068,38,MAG_068,Patescibacteria,0.192335,M21,Saccharimonadia,Saccharimonadales,UBA1547,Unassign,Unassign,RP sig,RP,Y,#F2F2F2,
Proteobacteria,MAG_070,39,MAG_070,Proteobacteria,0.087933,M22,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter mori,RP sig,RP,Y,#FBB4AE,
Firmicutes,MAG_074,40,MAG_074,Firmicutes,0.014476,M4,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,RP sig,RP,Y,#DECBE4,
Proteobacteria,MAG_078,41,MAG_078,Proteobacteria,1.062215,M3,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter_A,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_079,42,MAG_079,Proteobacteria,0.004025,M9,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,RP sig,RP,Y,#FBB4AE,
Bacteroidota,MAG_080,43,MAG_080,Bacteroidota,0.316095,M3,Bacteroidia,Cytophagales,Cyclobacteriaceae,Chryseolinea,Unassign,RP sig,RP,Y,#B3CDE3,
Firmicutes,MAG_081,44,MAG_081,Firmicutes,0.134147,M4,Bacilli,Bacillales,Bacillaceae,Bacillus_P,Unassign,RP,RP,N,#DECBE4,
Proteobacteria,MAG_084,45,MAG_084,Proteobacteria,0.324497,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Neorhizobium huautlense,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_085,46,MAG_085,Proteobacteria,0.200049,M16,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_089,47,MAG_089,Proteobacteria,0.022744,M15,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas geniculata,RP sig,RP,Y,#FBB4AE,
Bacteroidota,MAG_090,48,MAG_090,Bacteroidota,0.387097,M7,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig,RP,Y,#B3CDE3,
Proteobacteria,MAG_091,49,MAG_091,Proteobacteria,0.15609,M3,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_H,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_093,50,MAG_093,Proteobacteria,0.069062,M4,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_094,51,MAG_094,Proteobacteria,0.14611,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_095,52,MAG_095,Proteobacteria,0.032621,M22,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter mori,RP,RP,N,#FBB4AE,
Proteobacteria,MAG_097,53,MAG_097,Proteobacteria,0.444389,M3,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unassign,RP sig,RP,Y,#FBB4AE,
Bacteroidota,MAG_098,54,MAG_098,Bacteroidota,0.155363,M7,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig,RP,Y,#B3CDE3,
Proteobacteria,MAG_100,55,MAG_100,Proteobacteria,0.343309,M3,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_101,56,MAG_101,Proteobacteria,0.995899,M3,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter_A,Unassign,RP sig,RP,Y,#FBB4AE,
Firmicutes,MAG_102,57,MAG_102,Firmicutes,2.551175,M4,Bacilli,Bacillales,Bacillaceae_H,Priestia,Priestia megaterium,RP sig,RP,Y,#DECBE4,
Bacteroidota,MAG_103,58,MAG_103,Bacteroidota,0.439146,M7,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig,RP,Y,#B3CDE3,
Patescibacteria,MAG_106,59,MAG_106,Patescibacteria,0.023208,M24,Saccharimonadia,Saccharimonadales,EFPC-124,EFPC-124,Unassign,RP sig,RP,Y,#F2F2F2,
Firmicutes,MAG_108,60,MAG_108,Firmicutes,0.210408,M4,Bacilli,Bacillales,Bacillaceae,Metabacillus,Metabacillus sp004801455,RP,RP,N,#DECBE4,
Bacteroidota,MAG_110,61,MAG_110,Bacteroidota,0.182062,M28,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP,RP,N,#B3CDE3,
Firmicutes,MAG_111,62,MAG_111,Firmicutes,0.169001,M4,Bacilli,Bacillales_D,Amphibacillaceae,Terribacillus,Terribacillus saccharophilus,RP sig,RP,Y,#DECBE4,
Proteobacteria,MAG_113,63,MAG_113,Proteobacteria,0.889359,M3,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia_A,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_118,64,MAG_118,Proteobacteria,0.231571,M16,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_119,65,MAG_119,Proteobacteria,0.020131,M9,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii,RP,RP,N,#FBB4AE,
Proteobacteria,MAG_122,66,MAG_122,Proteobacteria,0.080453,M15,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas geniculata,RP sig,RP,Y,#FBB4AE,
Bacteroidota,MAG_124,67,MAG_124,Bacteroidota,0.224922,M11,Bacteroidia,Chitinophagales,Chitinophagaceae,Unassign,Unassign,RP sig,RP,Y,#B3CDE3,
Patescibacteria,MAG_126,68,MAG_126,Patescibacteria,0.003924,M3,Saccharimonadia,Saccharimonadales,UBA5946,UBA5946,Unassign,RP sig,RP,Y,#F2F2F2,
Bacteroidota,MAG_128,69,MAG_128,Bacteroidota,0.208838,M13,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unassign,RP sig,RP,Y,#B3CDE3,
Proteobacteria,MAG_130,70,MAG_130,Proteobacteria,0.206855,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_132,71,MAG_132,Proteobacteria,0.248227,M29,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_133,72,MAG_133,Proteobacteria,0.041404,M9,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,RP,RP,N,#FBB4AE,
Patescibacteria,MAG_135,73,MAG_135,Patescibacteria,0.214647,M3,Saccharimonadia,Saccharimonadales,UBA1547,Unassign,Unassign,RP sig,RP,Y,#F2F2F2,
Firmicutes,MAG_136,74,MAG_136,Firmicutes,0.109635,M4,Bacilli,Bacillales_D,Amphibacillaceae,Terribacillus,Terribacillus saccharophilus,RP sig,RP,Y,#DECBE4,
Proteobacteria,MAG_137,75,MAG_137,Proteobacteria,0.393597,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti_A,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_139,76,MAG_139,Proteobacteria,0.028234,M9,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii,RP sig,RP,Y,#FBB4AE,
Firmicutes,MAG_142,77,MAG_142,Firmicutes,0.142892,M4,Bacilli,Bacillales,Bacillaceae,Bacillus_P,Unassign,RP,RP,N,#DECBE4,
Myxococcota,MAG_143,78,MAG_143,Myxococcota,0.372978,M14,Polyangia,Polyangiales,Polyangiaceae,PMG-095,Unassign,RP sig,RP,Y,#FED9A6,
Firmicutes,MAG_146,79,MAG_146,Firmicutes,0.379388,M4,Bacilli,Bacillales_B,DSM-1321,Peribacillus,Peribacillus frigoritolerans,RP sig,RP,Y,#DECBE4,
Firmicutes,MAG_147,80,MAG_147,Firmicutes,0.219864,M4,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus halotolerans,RP sig,RP,Y,#DECBE4,
Firmicutes,MAG_148,81,MAG_148,Firmicutes,0.107165,M4,Bacilli,Bacillales_G,Fictibacillaceae,Fictibacillus,Fictibacillus barbaricus,RP sig,RP,Y,#DECBE4,
Bacteroidota,MAG_149,82,MAG_149,Bacteroidota,0.149804,M11,Bacteroidia,Chitinophagales,Chitinophagaceae,JACDAZ01,Unassign,RP sig,RP,Y,#B3CDE3,
Patescibacteria,MAG_154,83,MAG_154,Patescibacteria,0.067519,M17,Saccharimonadia,Saccharimonadales,UBA4665,PMNU01,Unassign,RP sig,RP,Y,#F2F2F2,
Myxococcota,MAG_156,84,MAG_156,Myxococcota,0.357434,M14,Polyangia,Polyangiales,Polyangiaceae,PMG-095,Unassign,RP sig,RP,Y,#FED9A6,
Firmicutes,MAG_159,85,MAG_159,Firmicutes,0.344779,M4,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,Unassign,RP,RP,N,#DECBE4,
Bacteroidota,MAG_161,86,MAG_161,Bacteroidota,0.137939,M7,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig,RP,Y,#B3CDE3,
Proteobacteria,MAG_163,87,MAG_163,Proteobacteria,0.122744,M31,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium_A,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_166,88,MAG_166,Proteobacteria,0.156854,M10,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassign,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_169,89,MAG_169,Proteobacteria,0.19937,M29,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_170,90,MAG_170,Proteobacteria,0.025036,M22,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter mori,RP,RP,N,#FBB4AE,
Desulfobacterota_B,MAG_171,91,MAG_171,Desulfobacterota_B,0.225213,M2,Binatia,UBA9968,UBA9968,WHTF01,Unassign,RS sig,RS,Y,#B3E2CD,
Proteobacteria,MAG_172,92,MAG_172,Proteobacteria,0.198979,M3,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassign,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_174,93,MAG_174,Proteobacteria,0.028253,M27,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,RP sig,RP,Y,#FBB4AE,
Patescibacteria,MAG_175,94,MAG_175,Patescibacteria,0.059312,M17,Saccharimonadia,Saccharimonadales,UBA4665,Unassign,Unassign,RP sig,RP,Y,#F2F2F2,
Proteobacteria,MAG_177,95,MAG_177,Proteobacteria,0.316428,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Neorhizobium huautlense,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_178,96,MAG_178,Proteobacteria,0.177929,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_179,97,MAG_179,Proteobacteria,0.339882,M1,Gammaproteobacteria,Burkholderiales,SG8-39,SCGC-AG-212-J23,Unassign,RS sig,RS,Y,#FBB4AE,
Proteobacteria,MAG_180,98,MAG_180,Proteobacteria,0.71098,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti_A,RP sig,RP,Y,#FBB4AE,
Firmicutes,MAG_183,99,MAG_183,Firmicutes,0.065249,M4,Bacilli,Bacillales_G,Fictibacillaceae,Fictibacillus,Fictibacillus barbaricus,RP sig,RP,Y,#DECBE4,
Proteobacteria,MAG_185,100,MAG_185,Proteobacteria,0.196249,M10,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassign,Unassign,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_186,101,MAG_186,Proteobacteria,0.517695,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti_A,RP sig,RP,Y,#FBB4AE,
Proteobacteria,MAG_187,102,MAG_187,Proteobacteria,0.21489,M6,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig,RP,Y,#FBB4AE,
Patescibacteria,MAG_190,103,MAG_190,Patescibacteria,0.067501,M17,Saccharimonadia,Saccharimonadales,UBA4665,Unassign,Unassign,RP sig,RP,Y,#F2F2F2,
Proteobacteria,MAG_191,104,MAG_191,Proteobacteria,0.325636,M3,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassign,RP sig,RP,Y,#FBB4AE,
