category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Group
Metabolism,Lipid metabolism,ko00071,Fatty acid degradation,7/471,60/14490,0.116666666666667,3.58917197452229,3.68361725857531,0.00319739250631785,0.0186514562868541,0.013943516192965,K00001/K00121/K00248/K00252/K00632/K01897/K07516,7,Partially KO
Metabolism,Carbohydrate metabolism,ko00051,Fructose and mannose metabolism,10/471,118/14490,0.0847457627118644,2.60714671272806,3.21298771942255,0.00509976447806876,0.0290567976076011,0.0217223750106234,K00008/K00971/K01624/K01711/K01840/K02446/K03332/K11645/K12661/K18334,10,Partially KO
Cellular Processes,Cellular community - prokaryotes,ko02024,Quorum sensing,18/471,283/14490,0.0636042402826855,1.95674191442911,2.97925701119337,0.00526515343813273,0.0293173316441481,0.0219171458907917,K01114/K01657/K01897/K01997/K01998/K01999/K02031/K02032/K02033/K02034/K02054/K02055/K03076/K03106/K03110/K03217/K15580/K20276,18,Partially KO
Metabolism,Amino acid metabolism,ko00350,Tyrosine metabolism,8/471,85/14490,0.0941176470588235,2.89546646684151,3.21247738532033,0.00633755314824995,0.0337543591591573,0.025234193313398,K00001/K00121/K00135/K00274/K00457/K00812/K00817/K01593,8,Partially KO
Metabolism,Carbohydrate metabolism,ko00640,Propanoate metabolism,9/471,104/14490,0.0865384615384615,2.66229789318961,3.11836277891184,0.00673803999742755,0.0342317071514609,0.0255910506739171,K00016/K00140/K00248/K00823/K01847/K01848/K01903/K01966/K11381,9,Partially KO
Metabolism,Energy metabolism,ko00910,Nitrogen metabolism,7/471,69/14490,0.101449275362319,3.12101910828025,3.23699910963066,0.00696378709317063,0.0342317071514609,0.0255910506739171,K00261/K00266/K00362/K00372/K01673/K02567/K15371,7,Partially KO
Metabolism,Metabolism of cofactors and vitamins,ko00780,Biotin metabolism,4/471,24/14490,0.166666666666667,5.12738853503185,3.70917979887531,0.00698606268397161,0.0342317071514609,0.0255910506739171,K00208/K00647/K00652/K01012,4,Partially KO
Metabolism,Metabolism of other amino acids,ko00470,D-Amino acid metabolism,6/471,55/14490,0.109090909090909,3.35610885929357,3.20877632614918,0.00861290572604353,0.040580036593859,0.0303369553913274,K00285/K01586/K01775/K01779/K01921/K13877,6,Partially KO
Cellular Processes,Cell motility,ko02030,Bacterial chemotaxis,4/471,26/14490,0.153846153846154,4.73297403233709,3.49195451565136,0.00933968271114085,0.0431740049854624,0.0322761626958989,K03406/K03407/K03412/K10439,4,Partially KO
Environmental Information Processing,Membrane transport,ko03070,Bacterial secretion system,7/471,74/14490,0.0945945945945946,2.91013943880186,3.01946282157422,0.0101209658902731,0.0459191970947576,0.0343284223178854,K02453/K02454/K03076/K03106/K03110/K03217/K11891,7,Partially KO
Metabolism,Carbohydrate metabolism,ko00051,Fructose and mannose metabolism,40/1303,118/14490,0.338983050847458,3.76965802515707,9.49569943578416,3.98991243952639e-14,6.52350683862565e-12,5.22888524969511e-12,K00045/K00066/K00594/K00847/K00848/K00850/K00863/K00882/K00895/K01218/K01622/K01623/K01628/K01629/K01729/K01803/K01805/K01808/K01809/K01820/K02377/K02768/K02769/K02770/K02793/K02800/K03841/K05947/K07046/K15778/K15916/K16011/K16881/K18335/K18336/K19270/K19355/K19956/K21071/K21883,40,Specific KO
Metabolism,Carbohydrate metabolism,ko00500,Starch and sucrose metabolism,36/1303,107/14490,0.336448598130841,3.74147366609047,8.9468393275574,9.70856553683145e-13,7.93675232635971e-11,6.36166531229219e-11,K00691/K00693/K00697/K00702/K00703/K00847/K00963/K00975/K01176/K01178/K01182/K01193/K01194/K01200/K01210/K01212/K01222/K01513/K01838/K02438/K05341/K05342/K05350/K06044/K07405/K13057/K13810/K15778/K15916/K16055/K16147/K16149/K16150/K20108/K21574/K22934,36,Specific KO
Metabolism,Carbohydrate metabolism,ko00040,Pentose and glucuronate interconversions,31/1303,92/14490,0.33695652173913,3.74712202609363,8.30881694732964,3.50726898431625e-11,2.29375391574282e-09,1.83854732019946e-09,K00040/K00065/K00594/K00848/K00853/K00880/K00963/K01051/K01195/K01628/K01629/K01686/K01728/K01730/K01783/K01804/K01805/K01812/K01815/K01820/K03079/K05351/K08323/K14259/K14274/K16190/K18106/K19588/K21619/K22186/K22396,31,Specific KO
Metabolism,Amino acid metabolism,ko00260,"Glycine, serine and threonine metabolism",33/1303,110/14490,0.3,3.33614735226401,7.73099767950991,2.7510529861611e-10,1.4993238774578e-08,1.20177577816511e-08,K00018/K00060/K00276/K00283/K00301/K00302/K00303/K00309/K00314/K00315/K00479/K00499/K00643/K00830/K00836/K00865/K00872/K01695/K01758/K01834/K02204/K10674/K12524/K13745/K15634/K15635/K15783/K15785/K15789/K16066/K17103/K17217/K21834,33,Specific KO
Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,30/1303,108/14490,0.277777777777778,3.08902532617038,6.84958645477765,1.30898390253061e-08,4.2803773612751e-07,3.43091570242234e-07,K00114/K00131/K00138/K00161/K00162/K00850/K00886/K00895/K01007/K01222/K01568/K01622/K01623/K01785/K01803/K01834/K01905/K03841/K11389/K12957/K13810/K13953/K13954/K15634/K15635/K15778/K15916/K20118/K21071/K22224,30,Specific KO
Metabolism,Energy metabolism,ko00680,Methane metabolism,43/1303,196/14490,0.219387755102041,2.43969959434273,6.37883605108637,2.74997293232011e-08,8.17491953516978e-07,6.55256708275318e-07,K00018/K00124/K00127/K00200/K00201/K00300/K00317/K00320/K00441/K00625/K00830/K00850/K00863/K00925/K01007/K01070/K01499/K01622/K01623/K01834/K03388/K03841/K05884/K05979/K07812/K08093/K08097/K08691/K10713/K11212/K11261/K11779/K12234/K14067/K14083/K14084/K15634/K15635/K16179/K21071/K22081/K22083/K22084,43,Specific KO
Metabolism,Nucleotide metabolism,ko00230,Purine metabolism,46/1303,224/14490,0.205357142857143,2.28367229470453,6.0861896098674,7.64033653415852e-08,2.0819917055582e-06,1.66881034825041e-06,K00073/K00087/K00364/K00365/K00759/K00760/K00939/K00940/K00942/K00955/K00956/K01120/K01239/K01430/K01466/K01477/K01486/K01487/K01488/K01513/K01515/K01588/K01839/K01923/K01952/K02083/K02566/K03651/K03783/K03784/K03787/K05810/K06952/K08289/K08693/K11175/K11178/K11751/K13481/K13485/K15778/K16839/K16841/K21053/K23265/K23270,46,Specific KO
Metabolism,Nucleotide metabolism,ko00240,Pyrimidine metabolism,29/1303,114/14490,0.254385964912281,2.82889687765077,6.16227425736812,1.86146814919534e-07,4.68230834451444e-06,3.75308153157603e-06,K00207/K00560/K00757/K00758/K00761/K00762/K00857/K00876/K00940/K00943/K00945/K01494/K01513/K01520/K01591/K02566/K03365/K03787/K06952/K07043/K08693/K09023/K11751/K13421/K16066/K16329/K17722/K17723/K17828,29,Specific KO
Metabolism,Carbohydrate metabolism,ko00620,Pyruvate metabolism,32/1303,134/14490,0.238805970149254,2.65563968339423,6.05229255337757,2.13587739728984e-07,4.98879934938413e-06,3.99874790921181e-06,K00101/K00114/K00116/K00138/K00156/K00158/K00161/K00162/K00244/K00467/K00625/K00656/K00925/K01003/K01007/K01026/K01067/K01512/K01676/K01759/K01905/K01960/K01962/K01963/K03778/K05523/K07248/K12957/K13953/K13954/K22224/K22373,32,Specific KO
Metabolism,Glycan biosynthesis and metabolism,ko00550,Peptidoglycan biosynthesis,18/1303,55/14490,0.327272727272727,3.6394334751971,6.16455997293513,7.50879290142883e-07,1.63691685251149e-05,1.31206275961809e-05,K00075/K00806/K01000/K01925/K01929/K02563/K03588/K03693/K05367/K05837/K06153/K07259/K07260/K12555/K21465/K21466/K21469/K23393,18,Specific KO
Metabolism,Metabolism of cofactors and vitamins,ko00860,Porphyrin metabolism,32/1303,142/14490,0.225352112676056,2.50602618010442,5.66890815328061,8.60793357619548e-07,1.75924642463495e-05,1.4101154345215e-05,K00218/K00228/K00231/K00435/K00595/K00643/K00798/K01195/K01719/K02188/K02224/K02229/K02230/K02257/K02259/K02302/K02495/K03394/K03403/K03594/K03795/K05934/K08100/K09882/K09883/K10960/K13542/K13601/K19221/K22226/K22227/K22552,32,Specific KO
Metabolism,Energy metabolism,ko00920,Sulfur metabolism,30/1303,131/14490,0.229007633587786,2.54667736814046,5.58974108255036,1.31274305190576e-06,2.5250998704305e-05,2.02398154752034e-05,K00299/K00387/K00390/K00640/K00641/K00955/K00956/K01739/K02046/K06881/K07306/K08352/K08357/K10764/K15552/K15553/K15554/K16937/K17217/K17218/K17222/K17226/K17228/K17285/K18367/K20034/K20035/K21310/K22622/K23163,30,Specific KO
Cellular Processes,Cell motility,ko02040,Flagellar assembly,17/1303,55/14490,0.309090909090909,3.43724272657504,5.69233098608397,3.70754409188706e-06,6.73537176692817e-05,5.39870455485309e-05,K02389/K02390/K02392/K02395/K02396/K02397/K02401/K02405/K02406/K02407/K02409/K02410/K02416/K02419/K02424/K02557/K10564,17,Specific KO
Metabolism,Carbohydrate metabolism,ko00520,Amino sugar and nucleotide sugar metabolism,27/1303,118/14490,0.228813559322034,2.54451916698102,5.2953431973349,4.46005755018969e-06,7.29219409456015e-05,5.84502278945913e-05,K00066/K00075/K00847/K00884/K00886/K00963/K00965/K00975/K01452/K01787/K01809/K02473/K02793/K04042/K07102/K07106/K08678/K08679/K09001/K12446/K13810/K15778/K15916/K16011/K16190/K16881/K20118,27,Specific KO
Metabolism,Carbohydrate metabolism,ko00630,Glyoxylate and dicarboxylate metabolism,27/1303,118/14490,0.228813559322034,2.54451916698102,5.2953431973349,4.46005755018969e-06,7.29219409456015e-05,5.84502278945913e-05,K00015/K00018/K00042/K00124/K00127/K00283/K00830/K00865/K01091/K01432/K01433/K01458/K01608/K01625/K01659/K07246/K07248/K07749/K08691/K11517/K14067/K14446/K14447/K14448/K18123/K18425/K22133,27,Specific KO
Metabolism,Carbohydrate metabolism,ko00030,Pentose phosphate pathway,22/1303,89/14490,0.247191011235955,2.74888545879431,5.20209711944611,9.06698779623199e-06,0.000134768409516721,0.000108022964653673,K00034/K00131/K00850/K00851/K00852/K00895/K01622/K01623/K01625/K01690/K01783/K01808/K01839/K03738/K03841/K06151/K08093/K13810/K15778/K15916/K21071/K22969,22,Specific KO
Metabolism,Xenobiotics biodegradation and metabolism,ko00362,Benzoate degradation,26/1303,116/14490,0.224137931034483,2.49252388387541,5.07317536536135,9.9167679156524e-06,0.000140990569931232,0.000113010307139471,K00217/K00446/K00449/K00481/K01055/K01692/K01782/K01825/K04108/K04109/K04110/K04118/K04755/K05549/K07104/K07535/K10217/K10220/K10221/K10621/K14727/K15512/K15513/K16173/K16514/K16515,26,Specific KO
Metabolism,Glycan biosynthesis and metabolism,ko00541,Biosynthesis of various nucleotide sugars,28/1303,135/14490,0.207407407407407,2.30647224354055,4.79384385646449,2.15210354529632e-05,0.000285628396400637,0.000228944055057971,K00523/K00963/K00979/K00983/K01627/K01639/K01654/K01709/K01790/K02377/K02472/K02473/K02805/K03270/K03271/K03272/K04042/K06041/K07031/K10012/K12452/K12454/K13010/K13018/K13019/K13020/K16011/K16881,28,Specific KO
Metabolism,Amino acid metabolism,ko00270,Cysteine and methionine metabolism,27/1303,128/14490,0.2109375,2.34572860706063,4.80699221962465,2.18370333639631e-05,0.000285628396400637,0.000228944055057971,K00558/K00640/K00641/K00772/K00832/K00872/K00899/K01243/K01611/K01739/K01758/K01919/K05810/K07173/K08964/K08967/K09758/K09880/K10764/K12339/K12524/K12960/K14155/K16843/K16844/K17217/K22847,27,Specific KO
Metabolism,Carbohydrate metabolism,ko00650,Butanoate metabolism,25/1303,115/14490,0.217391304347826,2.41749808135073,4.79717856192117,2.54468260788544e-05,0.000320042774145592,0.00025652873253582,K00004/K00043/K00240/K00241/K00244/K00656/K01027/K01028/K01034/K01039/K01580/K01640/K01641/K01692/K01715/K01782/K01799/K01825/K03821/K05973/K07246/K07250/K14534/K16871/K18372,25,Specific KO
Metabolism,Metabolism of cofactors and vitamins,ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,17/1303,64/14490,0.265625,2.95388046815042,4.92417439512921,3.43786458482649e-05,0.000416363599717875,0.000333734222854502,K01661/K01851/K01904/K01911/K02548/K02549/K02551/K03185/K03186/K03809/K10106/K11782/K11784/K11785/K19222/K19267/K20810,17,Specific KO
Metabolism,Carbohydrate metabolism,ko00640,Propanoate metabolism,23/1303,104/14490,0.221153846153846,2.45933939429718,4.69484608366765,3.97543642975949e-05,0.000448264728459087,0.000359304417789515,K00005/K00166/K00167/K00625/K00656/K00822/K00925/K01026/K01578/K01659/K01692/K01720/K01782/K01825/K01902/K01905/K01908/K01962/K01963/K03417/K07250/K18471/K22224,23,Specific KO
Metabolism,Metabolism of cofactors and vitamins,ko00760,Nicotinate and nicotinamide metabolism,21/1303,98/14490,0.214285714285714,2.38296239447429,4.31798614589133,0.00013688466321213,0.00149204282901221,0.0011959396891165,K00322/K00323/K00324/K00767/K00858/K00969/K01513/K01799/K02566/K03426/K03742/K03783/K03784/K03787/K08281/K08693/K11751/K12410/K18030/K20447/K20454,21,Specific KO
Metabolism,Amino acid metabolism,ko00330,Arginine and proline metabolism,23/1303,115/14490,0.2,2.22409823484267,4.14266367420913,0.000201384680929721,0.00206543983029118,0.00165554327295189,K00137/K00286/K00657/K00673/K00819/K00824/K01473/K01581/K01584/K01611/K01750/K01777/K03365/K09251/K09471/K10536/K12251/K12256/K13747/K18123/K21624/K21672/K22548,23,Specific KO
Metabolism,Xenobiotics biodegradation and metabolism,ko00643,Styrene degradation,9/1303,25/14490,0.36,4.00337682271681,4.72431689504604,0.000202122552199749,0.00206543983029118,0.00165554327295189,K00146/K00446/K00451/K01026/K01039/K01501/K07104/K16171/K20807,9,Specific KO
Metabolism,Metabolism of other amino acids,ko00470,D-Amino acid metabolism,14/1303,55/14490,0.254545454545455,2.83067048070885,4.27564402553051,0.000271265783604598,0.00268799731026375,0.00215455119992169,K00824/K01425/K01776/K01777/K01778/K01925/K12658/K19588/K19746/K19802/K21062/K21672/K22549/K23265,14,Specific KO
Metabolism,Glycan biosynthesis and metabolism,ko00540,Lipopolysaccharide biosynthesis,13/1303,50/14490,0.26,2.89132770529547,4.21101318211557,0.000355608411098134,0.0033204262923173,0.00266147158148079,K00677/K00748/K00912/K02535/K02841/K02843/K02844/K03269/K03760/K07264/K09778/K09949/K16363,13,Specific KO
Metabolism,Xenobiotics biodegradation and metabolism,ko00627,Aminobenzoate degradation,19/1303,91/14490,0.208791208791209,2.32186079461598,3.9761124944952,0.000397460143302515,0.00351268829351142,0.00281557825554271,K01034/K01501/K01512/K01576/K01692/K01781/K03186/K03380/K03863/K04108/K04109/K04110/K08295/K10221/K14581/K15054/K16239/K20807/K22958,19,Specific KO
Metabolism,Amino acid metabolism,ko00280,"Valine, leucine and isoleucine degradation",16/1303,71/14490,0.225352112676056,2.50602618010442,3.99864211617506,0.000458872416850486,0.0039487179028976,0.00316507567301305,K00166/K00167/K00253/K00822/K01027/K01028/K01640/K01641/K01692/K01782/K01825/K01968/K07250/K07508/K13766/K18661,16,Specific KO
Metabolism,Metabolism of other amino acids,ko00410,beta-Alanine metabolism,12/1303,46/14490,0.260869565217391,2.90099769762088,4.05915072411335,0.000575412693189732,0.0048246141198216,0.00386714603520225,K00137/K00207/K00276/K00822/K01578/K01580/K01692/K01782/K01825/K07250/K17722/K17723,12,Specific KO
Metabolism,Glycan biosynthesis and metabolism,ko00531,Glycosaminoglycan degradation,6/1303,15/14490,0.4,4.44819646968534,4.19997550170427,0.00128296022871381,0.0104881998697354,0.00840676570920363,K01132/K01135/K01137/K01195/K01205/K01565,6,Specific KO
Cellular Processes,Cellular community - prokaryotes,ko02024,Quorum sensing,41/1303,283/14490,0.144876325088339,1.61109589449734,3.26339620779577,0.00152897669981235,0.0121945214838692,0.00977445951869769,K01218/K01497/K01580/K01626/K01635/K01728/K01995/K01996/K02052/K02053/K03075/K06998/K07173/K07344/K07645/K07680/K07692/K07715/K08642/K09936/K10823/K10912/K10914/K10915/K11530/K11752/K12990/K13075/K14645/K15583/K18101/K18139/K18307/K19733/K20266/K20274/K20480/K20483/K20484/K20530/K20533,41,Specific KO
Metabolism,Metabolism of cofactors and vitamins,ko00670,One carbon pool by folate,14/1303,65/14490,0.215384615384615,2.39518271444595,3.54362914823827,0.00162596067571829,0.0126592652609495,0.0101469726379412,K00283/K00287/K00288/K00300/K00309/K00314/K00315/K00499/K00560/K00603/K01433/K01758/K11175/K17217,14,Specific KO
Metabolism,Amino acid metabolism,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",15/1303,74/14490,0.202702702702703,2.2541536163946,3.39987240700732,0.00213977804769822,0.0162722656185423,0.0130429555416611,K00220/K00500/K00832/K00891/K01626/K01695/K03856/K04517/K04518/K05358/K11646/K13497/K13501/K13503/K13832,15,Specific KO
Metabolism,Energy metabolism,ko00910,Nitrogen metabolism,14/1303,69/14490,0.202898550724638,2.25633154259401,3.28813417989845,0.00293925769158413,0.021358605892178,0.0171198869053672,K00260/K00262/K00363/K00367/K00368/K00376/K00459/K01501/K01674/K03385/K04561/K15576/K15577/K15578,14,Specific KO
Metabolism,Metabolism of cofactors and vitamins,ko00790,Folate biosynthesis,16/1303,84/14490,0.19047619047619,2.11818879508826,3.23073610267812,0.0030181336203283,0.0214549933445077,0.01719714580004,K00079/K00287/K00500/K00796/K01497/K01633/K01665/K01724/K03752/K03793/K06897/K06920/K09007/K09457/K10026/K22391,16,Specific KO
Metabolism,Amino acid metabolism,ko00350,Tyrosine metabolism,16/1303,85/14490,0.188235294117647,2.09326892691075,3.1775928325039,0.0034149651880739,0.0232644503437535,0.0186475072769825,K00146/K00151/K00276/K00451/K00483/K00505/K00832/K01826/K02509/K02510/K13574/K13953/K13954/K16164/K16165/K16171,16,Specific KO
Metabolism,Metabolism of cofactors and vitamins,ko00730,Thiamine metabolism,9/1303,36/14490,0.25,2.78012279355334,3.36144180794863,0.00377540435659817,0.0251950454001551,0.0201949663757883,K00788/K00939/K00941/K00946/K03149/K03153/K03707/K06949/K21219,9,Specific KO
Metabolism,Lipid metabolism,ko00564,Glycerophospholipid metabolism,20/1303,118/14490,0.169491525423729,1.88482901257853,3.033612915,0.00412691057140648,0.0269899951369984,0.0216336996269519,K00006/K00113/K00570/K00631/K00995/K01004/K01048/K01058/K01115/K03735/K05929/K05939/K06900/K07029/K08744/K13507/K13622/K14286/K17103/K22389,20,Specific KO
Metabolism,Amino acid metabolism,ko00340,Histidine metabolism,10/1303,47/14490,0.212765957446809,2.36606195196029,2.94855361855056,0.00792689982967216,0.0498480046981307,0.039955426266971,K00603/K00765/K01089/K01458/K01479/K01814/K02501/K05603/K18911/K18912,10,Specific KO
