sample,region,PGW,yield,genotype,MSPW,MSSN,SGN,HGW,TSLL,TSLW,MSH,MSD,FNL,MSPD,MSPL,Rust,Millet blast,Downy mildew,Smut,Sheath blight,Stipple streak,Brown spot,Gray leaf spot,Black sheath
YL.RS.342,RS,2.16,I,Group2,3.11,68.33333333,22,0.273333333,50.76666667,2.6,88.6,4.86,26.13333333,23.33333333,23,1,0,0,0,0,1,1,0,1
YL.RS.348,RS,8.38,I,Group2,9.45,77.66666667,59.66666667,0.27,51.3,3.033333333,103.3,4.756666667,35.86666667,19.13333333,30.23333333,1,0,0,0,0,0,0,0,0
YL.RS.977,RS,7.97,I,Group3,10.19,79,53.33333333,0.28,46.33333333,2.266666667,97.8,4.7,32.96666667,21.53333333,19,0,0,0,0,0,0,0,0,0
YL.RS.995,RS,8.65,I,Group3,9.956666667,55.66666667,122.6666667,0.26,35.4,1.866666667,96.23333333,4.166666667,27.06666667,18.63333333,13.46666667,0,0,0,0,0,0,0,0,0
YL.RS.1488,RS,11.93,II,Group2,14.45333333,87.33333333,73,0.313333333,45.5,2.9,92.4,5.133333333,26.36666667,17.47666667,22.73333333,0,0,0,0,0,0,0,0,0
YL.RS.9,RS,18.53,II,Group3,22.1,96,141,0.36,44.93333333,2.7,124.7333333,0.5,33.36666667,2.566666667,21.9,0,0,0,0,0,0,0,0,0
YL.RS.Si249,RS,17.61,II,Group2,21.37333333,79,95.33333333,0.383333333,42.66666667,3.133333333,138.6666667,5.833333333,48.36666667,29.13333333,26.63333333,0,1,0,0,1,0,0,0,0
YL.RS.Si051,RS,25.61,III,Group4,30.09333333,87.66666667,116.3333333,0.293333333,43.33333333,3.9,163.9333333,8.066666667,37.1,33.6,22.4,0,0,0,0,1,0,0,0,1
YL.RS.Si062,RS,25.9,III,Group2,30.13,96,89,0.39,39.33333333,2.866666667,128.2,6.8,40.13333333,27.7,26.13333333,0,1,1,0,1,0,0,0,0
YL.RS.Si080,RS,26.71,III,Group4,32.44333333,119.6666667,143.6666667,0.223333333,44.29333333,4.266666667,144.1666667,6.933333333,34.73333333,29,24.2,0,0,0,1,1,1,0,1,1
YL.RS.Si214,RS,26.79,III,Group1,31.82,75.33333333,164,0.363333333,43.93333333,2.666666667,130.5666667,6.866666667,34.43333333,29.03333333,25.9,0,0,0,0,1,1,0,0,0
YL.RS.Si268,RS,25.72,III,Group1,30.19333333,107.6666667,104.6666667,0.293333333,29.6,2.3,125.7333333,6.766666667,36.9,31.8,22.53333333,0,0,0,1,0,0,0,0,0
YL.RS.Si079,RS,32.46,IV,Group4,39.79,107.6666667,112.3333333,0.293333333,48.03333333,3.4,146.2333333,6.5,38.86666667,33.46666667,28.23333333,0,0,0,0,1,0,0,0,1
YL.RS.Si081,RS,31.71,IV,Group4,38.55666667,112.3333333,145,0.25,45.53333333,4.033333333,139.9666667,9.433333333,36,33.16666667,21.93333333,0,0,0,0,1,0,0,0,1
YL.RS.Si083,RS,30.95,IV,Group4,38.26333333,98.33333333,121,0.306666667,42.7,4,152.0666667,7.666666667,35.4,35.96666667,23.7,0,0,0,0,0,0,0,1,0
YL.RS.Si090,RS,35.08,IV,Group3,38.41333333,112,205.6666667,0.326666667,40.1,3.2,117.4333333,6.7,29.33333333,38.4,25.6,0,0,0,0,1,0,0,1,0
YL.RS.Si248,RS,36.07,IV,Group2,42.30666667,94.66666667,121.6666667,0.35,41.93333333,3.6,121.3333333,5.733333333,24.3,39.13333333,30.53333333,0,0,0,0,0,0,0,0,1
YL.RP.342,RP,2.16,I,Group2,3.11,68.33333333,22,0.273333333,50.76666667,2.6,88.6,4.86,26.13333333,23.33333333,23,1,0,0,0,0,1,1,0,1
YL.RP.348,RP,8.38,I,Group2,9.45,77.66666667,59.66666667,0.27,51.3,3.033333333,103.3,4.756666667,35.86666667,19.13333333,30.23333333,1,0,0,0,0,0,0,0,0
YL.RP.977,RP,7.97,I,Group3,10.19,79,53.33333333,0.28,46.33333333,2.266666667,97.8,4.7,32.96666667,21.53333333,19,0,0,0,0,0,0,0,0,0
YL.RP.995,RP,8.65,I,Group3,9.956666667,55.66666667,122.6666667,0.26,35.4,1.866666667,96.23333333,4.166666667,27.06666667,18.63333333,13.46666667,0,0,0,0,0,0,0,0,0
YL.RP.1488,RP,11.93,II,Group2,14.45333333,87.33333333,73,0.313333333,45.5,2.9,92.4,5.133333333,26.36666667,17.47666667,22.73333333,0,0,0,0,0,0,0,0,0
YL.RP.9,RP,18.53,II,Group3,22.1,96,141,0.36,44.93333333,2.7,124.7333333,0.5,33.36666667,2.566666667,21.9,0,0,0,0,0,0,0,0,0
YL.RP.Si249,RP,17.61,II,Group2,21.37333333,79,95.33333333,0.383333333,42.66666667,3.133333333,138.6666667,5.833333333,48.36666667,29.13333333,26.63333333,0,1,0,0,1,0,0,0,0
YL.RP.Si051,RP,25.61,III,Group4,30.09333333,87.66666667,116.3333333,0.293333333,43.33333333,3.9,163.9333333,8.066666667,37.1,33.6,22.4,0,0,0,0,1,0,0,0,1
YL.RP.Si062,RP,25.9,III,Group2,30.13,96,89,0.39,39.33333333,2.866666667,128.2,6.8,40.13333333,27.7,26.13333333,0,1,1,0,1,0,0,0,0
YL.RP.Si080,RP,26.71,III,Group4,32.44333333,119.6666667,143.6666667,0.223333333,44.29333333,4.266666667,144.1666667,6.933333333,34.73333333,29,24.2,0,0,0,1,1,1,0,1,1
YL.RP.Si214,RP,26.79,III,Group1,31.82,75.33333333,164,0.363333333,43.93333333,2.666666667,130.5666667,6.866666667,34.43333333,29.03333333,25.9,0,0,0,0,1,1,0,0,0
YL.RP.Si268,RP,25.72,III,Group1,30.19333333,107.6666667,104.6666667,0.293333333,29.6,2.3,125.7333333,6.766666667,36.9,31.8,22.53333333,0,0,0,1,0,0,0,0,0
YL.RP.Si079,RP,32.46,IV,Group4,39.79,107.6666667,112.3333333,0.293333333,48.03333333,3.4,146.2333333,6.5,38.86666667,33.46666667,28.23333333,0,0,0,0,1,0,0,0,1
YL.RP.Si081,RP,31.71,IV,Group4,38.55666667,112.3333333,145,0.25,45.53333333,4.033333333,139.9666667,9.433333333,36,33.16666667,21.93333333,0,0,0,0,1,0,0,0,1
YL.RP.Si083,RP,30.95,IV,Group4,38.26333333,98.33333333,121,0.306666667,42.7,4,152.0666667,7.666666667,35.4,35.96666667,23.7,0,0,0,0,0,0,0,1,0
YL.RP.Si090,RP,35.08,IV,Group3,38.41333333,112,205.6666667,0.326666667,40.1,3.2,117.4333333,6.7,29.33333333,38.4,25.6,0,0,0,0,1,0,0,1,0
YL.RP.Si248,RP,36.07,IV,Group2,42.30666667,94.66666667,121.6666667,0.35,41.93333333,3.6,121.3333333,5.733333333,24.3,39.13333333,30.53333333,0,0,0,0,0,0,0,0,1
